gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
144,100.834,-7.74195,-7.74195,-7.73977,-7.72581,-7.72581,-7.72371,-7.70577,-7.70577,-7.70381,-7.68159,-7.68159,-7.67977,-7.65337,-7.65337,-7.6517
145,103.835,-7.64895,-7.64895,-7.64679,-7.6334,-7.6334,-7.63131,-7.61408,-7.61408,-7.61212,-7.59077,-7.59077,-7.58895,-7.56354,-7.56354,-7.56188
146,106.925,-7.55669,-7.55669,-7.55455,-7.54171,-7.54171,-7.53964,-7.52308,-7.52308,-7.52114,-7.50061,-7.50061,-7.4988,-7.47435,-7.47435,-7.4727
147,110.105,-7.46518,-7.46518,-7.46306,-7.45074,-7.45074,-7.44868,-7.4328,-7.4328,-7.43086,-7.41114,-7.41114,-7.40934,-7.38581,-7.38581,-7.38417
148,113.379,-7.37442,-7.37442,-7.37232,-7.36051,-7.36051,-7.35846,-7.34322,-7.34322,-7.34129,-7.32235,-7.32235,-7.32056,-7.29792,-7.29792,-7.29629
149,116.748,-7.28441,-7.28441,-7.28233,-7.27102,-7.27102,-7.26898,-7.25436,-7.25436,-7.25244,-7.23424,-7.23424,-7.23247,-7.21069,-7.21069,-7.20908
150,120.216,-7.19517,-7.19517,-7.19311,-7.18226,-7.18226,-7.18024,-7.16621,-7.16621,-7.16431,-7.14684,-7.14684,-7.14508,-7.12413,-7.12413,-7.12253
151,123.786,-7.10669,-7.10669,-7.10465,-7.09426,-7.09426,-7.09225,-7.0788,-7.0788,-7.07691,-7.06014,-7.06014,-7.05838,-7.03824,-7.03824,-7.03666
152,127.461,-7.01897,-7.01897,-7.01695,-7.007,-7.007,-7.00501,-6.99212,-6.99212,-6.99023,-6.97414,-6.97414,-6.9724,-6.95305,-6.95305,-6.95147
153,131.243,-6.93202,-6.93202,-6.93002,-6.9205,-6.9205,-6.91853,-6.90617,-6.90617,-6.9043,-6.88886,-6.88886,-6.88712,-6.86854,-6.86854,-6.86696
154,135.136,-6.84585,-6.84585,-6.84387,-6.83476,-6.83476,-6.83281,-6.82096,-6.82096,-6.8191,-6.80429,-6.80429,-6.80256,-6.78472,-6.78472,-6.78314
155,139.143,-6.76046,-6.76046,-6.7585,-6.74978,-6.74978,-6.74785,-6.73649,-6.73649,-6.73464,-6.72044,-6.72044,-6.71872,-6.7016,-6.7016,-6.70003
156,143.267,-6.67584,-6.67584,-6.6739,-6.66556,-6.66556,-6.66365,-6.65278,-6.65278,-6.65094,-6.63732,-6.63732,-6.63561,-6.61918,-6.61918,-6.61761
157,147.512,-6.59201,-6.59201,-6.59009,-6.58211,-6.58211,-6.58022,-6.56981,-6.56981,-6.56798,-6.55493,-6.55493,-6.55322,-6.53747,-6.53747,-6.5359
