gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
125,57.5709,-9.43701,-9.42518,-9.40901,-9.40634,-9.39483,-9.37874,-9.36842,-9.35732,-9.34134,-9.32324,-9.31228,-9.2965,-9.27068,-9.25989,-9.24429
126,59.3049,-9.33208,-9.32035,-9.30432,-9.30246,-9.29102,-9.27507,-9.26579,-9.25478,-9.23893,-9.22211,-9.21125,-9.19559,-9.17131,-9.16059,-9.1451
127,61.0897,-9.22778,-9.21616,-9.20026,-9.19916,-9.1878,-9.17201,-9.16371,-9.1528,-9.13708,-9.12148,-9.11075,-9.09522,-9.0724,-9.06176,-9.04639
128,62.9268,-9.12412,-9.1126,-9.09684,-9.09647,-9.0852,-9.06955,-9.0622,-9.05138,-9.03581,-9.02138,-9.01076,-8.99537,-8.97396,-8.96343,-8.9482
129,64.8177,-9.02109,-9.00969,-8.99406,-8.9944,-8.98322,-8.9677,-8.96129,-8.95055,-8.93512,-8.92182,-8.91132,-8.89607,-8.87602,-8.86558,-8.85049
130,66.7641,-8.91873,-8.90741,-8.89194,-8.89295,-8.88186,-8.86649,-8.86098,-8.85031,-8.83502,-8.82282,-8.81242,-8.7973,-8.77859,-8.76824,-8.75327
131,68.7675,-8.81702,-8.8058,-8.79048,-8.79213,-8.78113,-8.76591,-8.76127,-8.75066,-8.73552,-8.72438,-8.71408,-8.69908,-8.68166,-8.67141,-8.65657
132,70.8295,-8.71599,-8.70486,-8.6897,-8.69196,-8.68104,-8.66598,-8.66217,-8.65163,-8.63664,-8.62651,-8.61631,-8.60143,-8.58525,-8.57511,-8.56039
133,72.9521,-8.61563,-8.60461,-8.58959,-8.59244,-8.5816,-8.5667,-8.56368,-8.55322,-8.53838,-8.52923,-8.51913,-8.50437,-8.48937,-8.47934,-8.46477
134,75.1368,-8.51595,-8.50503,-8.49017,-8.49358,-8.48282,-8.46809,-8.46583,-8.45544,-8.44074,-8.43254,-8.42253,-8.40789,-8.39404,-8.38412,-8.36969
135,77.3855,-8.41697,-8.40616,-8.39145,-8.39539,-8.38471,-8.37014,-8.36861,-8.3583,-8.34375,-8.33646,-8.32654,-8.31202,-8.29927,-8.28945,-8.27518
136,79.7002,-8.31869,-8.30799,-8.29342,-8.29788,-8.28729,-8.27288,-8.27204,-8.26181,-8.2474,-8.24098,-8.23117,-8.21677,-8.20507,-8.19536,-8.18123
137,82.0826,-8.22112,-8.21052,-8.19611,-8.20104,-8.19056,-8.17629,-8.17612,-8.16598,-8.15171,-8.14613,-8.13641,-8.12216,-8.11145,-8.10186,-8.08784
138,84.5349,-8.12426,-8.11378,-8.0995,-8.1049,-8.09453,-8.0804,-8.08087,-8.0708,-8.05669,-8.05191,-8.04228,-8.02817,-8.01842,-8.00895,-7.99505
139,87.0591,-8.02813,-8.01775,-8.00362,-8.00946,-7.99919,-7.9852,-7.98629,-7.97629,-7.96234,-7.95834,-7.94879,-7.93482,-7.926,-7.91663,-7.90286
140,89.6572,-7.93272,-7.92246,-7.90846,-7.91473,-7.90456,-7.89071,-7.89238,-7.88247,-7.86868,-7.86543,-7.85595,-7.84213,-7.83418,-7.82493,-7.81129
141,92.3314,-7.83805,-7.8279,-7.81404,-7.8207,-7.81065,-7.79692,-7.79917,-7.78932,-7.77569,-7.77317,-7.76375,-7.7501,-7.74299,-7.73385,-7.72033
142,95.084,-7.74412,-7.73408,-7.72036,-7.7274,-7.71746,-7.70386,-7.70664,-7.69688,-7.68341,-7.68158,-7.67222,-7.65873,-7.65244,-7.64339,-7.63
